id,source,title,company,url,description,location,posted_date,discovered_date
98,Google,"Student Researcher, PhD, Winter/Summer 2025",Google,https://www.google.com/about/careers/applications/jobs/results/101250764885631686-student-researcher-phd-wintersummer-2025?q=intern&degree=PURSUING_DEGREE,,"Waterloo, ON, Canada",,2025-06-03 21:01:23
99,Google,"Student Researcher, BS/MS, Winter/Summer 2025",Google,https://www.google.com/about/careers/applications/jobs/results/141568859843764934-student-researcher-bsms-wintersummer-2025?q=intern&degree=PURSUING_DEGREE,,"Mountain View, CA, USA",,2025-06-03 21:01:23
100,Google,"Student Researcher, BS/MS, Winter/Summer 2025",Google,https://www.google.com/about/careers/applications/jobs/results/117176091302339270-student-researcher-bsms-wintersummer-2025?q=intern&degree=PURSUING_DEGREE,,"Waterloo, ON, Canada",,2025-06-03 21:01:23
101,Google,"Student Researcher, PhD, Winter/Summer 2025",Google,https://www.google.com/about/careers/applications/jobs/results/99522332606767814-student-researcher-phd-wintersummer-2025?q=intern&degree=PURSUING_DEGREE,,"Mountain View, CA, USA",,2025-06-03 21:01:23
102,Google,"Student Researcher, 2025",Google,https://www.google.com/about/careers/applications/jobs/results/85287411751232198-student-researcher-2025?q=intern&degree=PURSUING_DEGREE,,"Sydney NSW, Australia",,2025-06-03 21:01:23
103,Amazon,"Amazon Robotics - Technical Artist Co-op - July to December 2025, Virtual Systems",Amazon,https://www.amazon.jobs/en/jobs/2890947/amazon-robotics-technical-artist-co-op-july-to-december-2025-virtual-systems,,"Boston, MA, USA
Westborough, MA, USA
|
Job ID: 2890947",,2025-06-03 21:01:30
104,Amazon,Amazon Robotics - Software Development Engineer Co-Op - Fall 2025,Amazon,https://www.amazon.jobs/en/jobs/2875846/amazon-robotics-software-development-engineer-co-op-fall-2025,,"North Reading, MA, USA
Seattle, WA, USA
Westborough, MA, USA
|
Job ID: 2875846",,2025-06-03 21:01:30
105,Amazon,Amazon Robotics - Embedded Firmware Co-op - July to December 2025,Amazon,https://www.amazon.jobs/en/jobs/2869359/amazon-robotics-embedded-firmware-co-op-july-to-december-2025,,"North Reading, MA, USA
Westborough, MA, USA
|
Job ID: 2869359",,2025-06-03 21:01:30
106,Meta,"Software Engineer, Systems",Meta,https://www.metacareers.com/jobs/589940993882685/,,"New York, NY
•
Software Engineering
•
IT +1 more",,2025-06-03 21:01:34
107,Meta,,Meta,,,,,2025-06-03 21:04:08
